Iso	Gene
TRINITY_DN12255_c0_g1	60S ribosomal protein L10 OS=Drosophila melanogaster OX=7227 GN=RpL10 PE=1 SV=1 E(blastx)=3e-28
TRINITY_DN10198_c0_g1	Hephaestin-like protein OS=Acropora millepora OX=45264 PE=1 SV=1 E(blastx)=2e-38
TRINITY_DN11373_c0_g1	Basic leucine zipper and W2 domain-containing protein 2 OS=Danio rerio OX=7955 GN=bzw2 PE=2 SV=1 E(blastx)=3e-08
TRINITY_DN10334_c0_g1	Adenylate kinase 9 OS=Homo sapiens OX=9606 GN=AK9 PE=1 SV=2 E(blastx)=3e-34
TRINITY_DN12789_c0_g1	"Dynein heavy chain 8, axonemal OS=Mus musculus OX=10090 GN=Dnah8 PE=1 SV=2 E(blastx)=6e-07"
TRINITY_DN13420_c0_g1	Elongation factor 1-alpha OS=Danio rerio OX=7955 GN=eef1a PE=2 SV=1 E(blastx)=3e-42
TRINITY_DN13851_c0_g1	Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens OX=9606 GN=CYLD PE=1 SV=1 E(blastx)=4e-25
TRINITY_DN6826_c0_g1	Piezo-type mechanosensitive ion channel component 2 OS=Homo sapiens OX=9606 GN=PIEZO2 PE=1 SV=2 E(blastx)=1e-09
TRINITY_DN10242_c0_g1	E3 ubiquitin-protein ligase MYLIP-A OS=Danio rerio OX=7955 GN=mylipa PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN3105_c0_g1	Anaphase-promoting complex subunit 11 OS=Mus musculus OX=10090 GN=Anapc11 PE=3 SV=1 E(blastx)=3e-43
TRINITY_DN11332_c0_g1	Kinesin light chain 1 OS=Rattus norvegicus OX=10116 GN=Klc1 PE=1 SV=2 E(blastx)=4e-06
TRINITY_DN984_c0_g1	Actin-related protein 3B OS=Mus musculus OX=10090 GN=Actr3b PE=1 SV=1 E(blastx)=5e-36
TRINITY_DN13893_c0_g1	E3 ubiquitin-protein ligase Rnf220 OS=Mus musculus OX=10090 GN=Rnf220 PE=1 SV=1 E(blastx)=5e-11
TRINITY_DN6757_c0_g1	Probable elongation factor 1-gamma OS=Caenorhabditis elegans OX=6239 GN=eef-1G PE=1 SV=1 E(blastx)=2e-17
TRINITY_DN10451_c0_g1	Putative sodium-coupled neutral amino acid transporter 10 OS=Xenopus laevis OX=8355 GN=slc38a10 PE=2 SV=1 E(blastx)=5e-13
TRINITY_DN8000_c0_g1	T-complex protein 1 subunit zeta-2 OS=Bos taurus OX=9913 GN=CCT6B PE=2 SV=3 E(blastx)=8e-25
TRINITY_DN2865_c0_g1	Zinc finger protein ZPR1 OS=Mus musculus OX=10090 GN=Zpr1 PE=1 SV=1 E(blastx)=9e-22
TRINITY_DN6870_c0_g1	D-inositol 3-phosphate glycosyltransferase OS=Paenarthrobacter aurescens (strain TC1) OX=290340 GN=mshA PE=3 SV=1 E(blastx)=2e-09
TRINITY_DN13277_c0_g1	Metastasis-associated protein MTA1 OS=Mus musculus OX=10090 GN=Mta1 PE=1 SV=1 E(blastx)=1e-32
TRINITY_DN7097_c0_g1	Cullin-2 OS=Pongo abelii OX=9601 GN=CUL2 PE=2 SV=1 E(blastx)=2e-36
TRINITY_DN14293_c0_g1	14-3-3 protein zeta OS=Xenopus laevis OX=8355 GN=ywhaz PE=2 SV=2 E(blastx)=9e-08
TRINITY_DN3269_c0_g1	X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3 E(blastx)=3e-13
TRINITY_DN10076_c0_g1	Protein Shroom4 OS=Mus musculus OX=10090 GN=Shroom4 PE=1 SV=1 E(blastx)=6e-12
TRINITY_DN1841_c0_g1	Probable tubulin polyglutamylase TTLL2 OS=Homo sapiens OX=9606 GN=TTLL2 PE=2 SV=3 E(blastx)=2e-20
TRINITY_DN6906_c0_g1	Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=2 E(blastx)=2e-09
TRINITY_DN1961_c0_g1	DnaJ homolog subfamily C member 25 homolog OS=Drosophila melanogaster OX=7227 GN=CG7872 PE=2 SV=1 E(blastx)=1e-18
TRINITY_DN12970_c0_g1	Laminin-like protein epi-1 OS=Caenorhabditis elegans OX=6239 GN=epi-1 PE=1 SV=1 E(blastx)=2e-35
TRINITY_DN8341_c0_g1	Histone H3.3 OS=Pongo abelii OX=9601 PE=2 SV=3 E(blastx)=3e-37
TRINITY_DN13027_c0_g1	Mitochondrial enolase superfamily member 1 OS=Xenopus laevis OX=8355 GN=enosf1 PE=2 SV=1 E(blastx)=4e-54
TRINITY_DN8377_c0_g1	Sodium-dependent noradrenaline transporter OS=Homo sapiens OX=9606 GN=SLC6A2 PE=1 SV=1 E(blastx)=1e-26
TRINITY_DN2624_c0_g1	Tetratricopeptide repeat protein 25 OS=Danio rerio OX=7955 GN=ttc25 PE=2 SV=1 E(blastx)=3e-25
TRINITY_DN7063_c0_g1	Transmembrane GTPase Marf OS=Drosophila melanogaster OX=7227 GN=Marf PE=1 SV=1 E(blastx)=5e-06
TRINITY_DN5136_c0_g1	60S ribosomal protein L26 OS=Littorina littorea OX=31216 GN=RPL26 PE=2 SV=1 E(blastx)=8e-12
TRINITY_DN1625_c0_g1	Mitochondrial amidoxime reducing component 2 OS=Macaca fascicularis OX=9541 GN=MTARC2 PE=2 SV=1 E(blastx)=1e-07
TRINITY_DN3378_c0_g1	Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2 E(blastx)=3e-08
TRINITY_DN1901_c0_g1	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens OX=9606 GN=PPIL4 PE=1 SV=1 E(blastx)=5e-05
TRINITY_DN4501_c0_g1	"28S ribosomal protein S24-B, mitochondrial OS=Xenopus laevis OX=8355 GN=mrps24-b PE=2 SV=1 E(blastx)=3e-11"
TRINITY_DN11333_c0_g1	GDP-L-fucose synthase OS=Cricetulus griseus OX=10029 GN=TSTA3 PE=2 SV=1 E(blastx)=8e-18
TRINITY_DN12732_c0_g1	Frizzled-8 OS=Xenopus laevis OX=8355 GN=fzd8 PE=1 SV=1 E(blastx)=4e-26
TRINITY_DN1469_c0_g1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Canis lupus familiaris OX=9615 GN=RPN2 PE=1 SV=3 E(blastx)=1e-15
TRINITY_DN8430_c0_g1	Endoplasmic reticulum chaperone BiP (Fragment) OS=Sus scrofa OX=9823 GN=HSPA5 PE=2 SV=2 E(blastx)=1e-25
TRINITY_DN8842_c0_g1	"3-hydroxyanthranilate 3,4-dioxygenase OS=Nematostella vectensis OX=45351 GN=v1g178517 PE=3 SV=1 E(blastx)=1e-06"
TRINITY_DN3684_c0_g1	DnaJ homolog subfamily A member 2 OS=Mus musculus OX=10090 GN=Dnaja2 PE=1 SV=1 E(blastx)=3e-19
TRINITY_DN12753_c0_g1	60S ribosomal protein L8 OS=Xenopus laevis OX=8355 GN=rpl8 PE=2 SV=3 E(blastx)=2e-45
TRINITY_DN6301_c0_g1	Centrosome and spindle pole associated protein 1 OS=Mus musculus OX=10090 GN=Cspp1 PE=1 SV=2 E(blastx)=7e-07
TRINITY_DN11070_c0_g1	Unconventional myosin-Id OS=Xenopus laevis OX=8355 GN=myo1d PE=1 SV=2 E(blastx)=2e-26
TRINITY_DN13602_c0_g1	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Bos taurus OX=9913 GN=HGS PE=2 SV=1 E(blastx)=4e-05
TRINITY_DN13261_c0_g1	Neural-cadherin OS=Drosophila melanogaster OX=7227 GN=CadN PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN11512_c0_g1	F-box/LRR-repeat protein 20 OS=Homo sapiens OX=9606 GN=FBXL20 PE=1 SV=2 E(blastx)=1e-24
TRINITY_DN4864_c0_g1	97 kDa heat shock protein OS=Mesocentrotus franciscanus OX=1328066 GN=HSP110 PE=2 SV=1 E(blastx)=3e-23
TRINITY_DN331_c0_g1	40S ribosomal protein S19 OS=Rattus norvegicus OX=10116 GN=Rps19 PE=2 SV=3 E(blastx)=1e-52
TRINITY_DN8385_c0_g1	Protein PsbN OS=Rhodomonas salina OX=52970 GN=psbN PE=3 SV=1 E(blastx)=2e-11
TRINITY_DN5997_c0_g1	"ATP synthase subunit c, chloroplastic OS=Pisum sativum OX=3888 GN=atpH PE=1 SV=1 E(blastx)=9e-23"
TRINITY_DN8134_c0_g1	Neuroglobin OS=Sus scrofa OX=9823 GN=NGB PE=2 SV=2 E(blastx)=8e-09
TRINITY_DN7573_c0_g1	Serine/threonine-protein kinase Nek11 OS=Mus musculus OX=10090 GN=Nek11 PE=2 SV=2 E(blastx)=1e-11
TRINITY_DN5381_c0_g1	Proteasome subunit alpha type-1 OS=Pongo abelii OX=9601 GN=PSMA1 PE=2 SV=1 E(blastx)=6e-33
TRINITY_DN10963_c0_g1	Retinal dehydrogenase 1 OS=Gallus gallus OX=9031 GN=ALDH1A1 PE=2 SV=1 E(blastx)=2e-27
TRINITY_DN13092_c0_g1	Growth hormone-regulated TBC protein 1 OS=Rattus norvegicus OX=10116 GN=Grtp1 PE=2 SV=1 E(blastx)=6e-09
TRINITY_DN633_c0_g1_i2	Tubulin alpha-2/alpha-4 chain OS=Patella vulgata OX=6465 GN=TUB2 PE=2 SV=1 E(blastx)=1e-70
TRINITY_DN6702_c0_g1	Plexin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PLXDC2 PE=1 SV=1 E(blastx)=1e-23
TRINITY_DN12627_c0_g1	Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1 E(blastx)=3e-10
TRINITY_DN10310_c0_g1	DEAD-box ATP-dependent RNA helicase 8 OS=Arabidopsis thaliana OX=3702 GN=RH8 PE=2 SV=1 E(blastx)=4e-27
TRINITY_DN13524_c0_g1	MAGUK p55 subfamily member 2 OS=Homo sapiens OX=9606 GN=MPP2 PE=1 SV=3 E(blastx)=1e-25
TRINITY_DN6838_c0_g1	Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1 E(blastx)=5e-27
TRINITY_DN3475_c0_g1	Serine/threonine-protein kinase Sgk1 OS=Homo sapiens OX=9606 GN=SGK1 PE=1 SV=2 E(blastx)=1e-12
TRINITY_DN4422_c0_g1	Protein strawberry notch OS=Drosophila melanogaster OX=7227 GN=sno PE=1 SV=2 E(blastx)=1e-19
TRINITY_DN12294_c0_g1	Tetratricopeptide repeat protein 28 OS=Homo sapiens OX=9606 GN=TTC28 PE=1 SV=4 E(blastx)=2e-25
TRINITY_DN4433_c0_g1	Tau-tubulin kinase 1 OS=Mus musculus OX=10090 GN=Ttbk1 PE=1 SV=3 E(blastx)=8e-33
TRINITY_DN9692_c0_g1	Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog OS=Danio rerio OX=7955 GN=litaf PE=2 SV=1 E(blastx)=2e-05
TRINITY_DN973_c0_g1	60S ribosomal protein L30 OS=Rattus norvegicus OX=10116 GN=Rpl30 PE=3 SV=2 E(blastx)=4e-50
TRINITY_DN8697_c0_g1	Pre-mRNA-processing factor 40 homolog B OS=Homo sapiens OX=9606 GN=PRPF40B PE=1 SV=1 E(blastx)=2e-29
TRINITY_DN7250_c0_g1	Cystathionine beta-synthase OS=Oryctolagus cuniculus OX=9986 GN=CBS PE=2 SV=3 E(blastx)=4e-44
TRINITY_DN4705_c0_g1	Carbonic anhydrase 2 OS=Bos taurus OX=9913 GN=CA2 PE=1 SV=3 E(blastx)=1e-05
TRINITY_DN10731_c0_g1	Tauropine dehydrogenase OS=Arabella iricolor OX=65494 GN=tadh PE=1 SV=1 E(blastx)=1e-24
TRINITY_DN8830_c0_g1	Neuropilin-2 OS=Mus musculus OX=10090 GN=Nrp2 PE=1 SV=2 E(blastx)=1e-05
TRINITY_DN9589_c0_g1	Aryl hydrocarbon receptor nuclear translocator homolog OS=Drosophila melanogaster OX=7227 GN=tgo PE=1 SV=3 E(blastx)=8e-10
TRINITY_DN12996_c0_g1	"ATP synthase subunit c, chloroplastic OS=Tetradesmus obliquus OX=3088 GN=atpH PE=3 SV=1 E(blastx)=4e-31"
TRINITY_DN13574_c0_g1	[F-actin]-monooxygenase Mical OS=Drosophila melanogaster OX=7227 GN=Mical PE=1 SV=1 E(blastx)=1e-20
TRINITY_DN7392_c0_g1	Unconventional myosin-If OS=Homo sapiens OX=9606 GN=MYO1F PE=1 SV=3 E(blastx)=1e-06
TRINITY_DN5673_c0_g1	Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens OX=9606 GN=GLIPR2 PE=1 SV=3 E(blastx)=1e-10
TRINITY_DN12062_c0_g1	Poly [ADP-ribose] polymerase tankyrase OS=Drosophila melanogaster OX=7227 GN=Tnks PE=1 SV=1 E(blastx)=2e-21
TRINITY_DN4532_c0_g1	Ubiquitin carboxyl-terminal hydrolase 34 OS=Mus musculus OX=10090 GN=Usp34 PE=1 SV=3 E(blastx)=5e-06
TRINITY_DN4409_c0_g1	Probable helicase with zinc finger domain OS=Homo sapiens OX=9606 GN=HELZ PE=1 SV=2 E(blastx)=6e-19
TRINITY_DN11562_c0_g1	Sodium channel and clathrin linker 1 OS=Homo sapiens OX=9606 GN=SCLT1 PE=1 SV=2 E(blastx)=3e-08
TRINITY_DN11822_c0_g1	Spliceosome RNA helicase DDX39B OS=Canis lupus familiaris OX=9615 GN=DDX39B PE=3 SV=1 E(blastx)=4e-36
TRINITY_DN12043_c0_g1	Probable ATP-dependent RNA helicase DDX60 OS=Homo sapiens OX=9606 GN=DDX60 PE=1 SV=3 E(blastx)=5e-05
TRINITY_DN5344_c0_g1	60S ribosomal protein L7a OS=Takifugu rubripes OX=31033 GN=rpl7a PE=3 SV=3 E(blastx)=2e-34
TRINITY_DN2970_c0_g1	Inhibitor of growth protein 1 OS=Homo sapiens OX=9606 GN=ING1 PE=1 SV=2 E(blastx)=8e-09
TRINITY_DN37_c0_g1_i2	Rho-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Rock1 PE=1 SV=1 E(blastx)=9e-28
TRINITY_DN7052_c0_g1	Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens OX=9606 GN=BMS1 PE=1 SV=1 E(blastx)=4e-11
TRINITY_DN13637_c0_g1	Splicing factor U2AF 65 kDa subunit OS=Mus musculus OX=10090 GN=U2af2 PE=1 SV=3 E(blastx)=9e-25
TRINITY_DN12815_c0_g1	Ankyrin repeat domain-containing protein 49 OS=Bos taurus OX=9913 GN=ANKRD49 PE=2 SV=1 E(blastx)=1e-14
TRINITY_DN12116_c0_g1	Poly [ADP-ribose] polymerase tankyrase-1 OS=Homo sapiens OX=9606 GN=TNKS PE=1 SV=2 E(blastx)=4e-13
TRINITY_DN6436_c0_g1	60S ribosomal protein L38 OS=Branchiostoma belcheri OX=7741 GN=RPL38 PE=3 SV=1 E(blastx)=3e-23
TRINITY_DN13511_c0_g1	Anoctamin-8 OS=Mus musculus OX=10090 GN=Ano8 PE=1 SV=3 E(blastx)=2e-05
TRINITY_DN4298_c0_g1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1 E(blastx)=2e-25
TRINITY_DN9685_c0_g1	Protein cereblon OS=Gallus gallus OX=9031 GN=CRBN PE=1 SV=1 E(blastx)=3e-10
TRINITY_DN8046_c0_g1	Eukaryotic translation initiation factor eIF1 OS=Drosophila melanogaster OX=7227 GN=eIF1 PE=1 SV=1 E(blastx)=8e-15
TRINITY_DN6787_c0_g1	Transformation/transcription domain-associated protein OS=Homo sapiens OX=9606 GN=TRRAP PE=1 SV=3 E(blastx)=7e-19
TRINITY_DN6000_c0_g1	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1 E(blastx)=2e-13
TRINITY_DN4909_c0_g1	Copia protein OS=Drosophila melanogaster OX=7227 GN=GIP PE=1 SV=3 E(blastx)=2e-13
TRINITY_DN10714_c0_g1	Lysocardiolipin acyltransferase 1 OS=Mus musculus OX=10090 GN=Lclat1 PE=1 SV=2 E(blastx)=9e-35
TRINITY_DN12085_c0_g1	Single-minded homolog 2 OS=Homo sapiens OX=9606 GN=SIM2 PE=1 SV=2 E(blastx)=2e-20
TRINITY_DN6946_c0_g1	40S ribosomal protein S27 OS=Homarus americanus OX=6706 GN=RPS27 PE=3 SV=2 E(blastx)=2e-45
TRINITY_DN13509_c0_g1	MAM and LDL-receptor class A domain-containing protein 1 (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1 E(blastx)=2e-17
TRINITY_DN3307_c0_g1	Lipoxygenase homology domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LOXHD1 PE=2 SV=4 E(blastx)=3e-10
TRINITY_DN3127_c0_g1	Phosphatidylserine lipase ABHD16A OS=Rattus norvegicus OX=10116 GN=Abhd16a PE=2 SV=1 E(blastx)=3e-13
TRINITY_DN7330_c0_g1	G-protein-signaling modulator 2 OS=Homo sapiens OX=9606 GN=GPSM2 PE=1 SV=3 E(blastx)=2e-15
TRINITY_DN7649_c0_g1	E3 ubiquitin-protein ligase rnf213-beta OS=Danio rerio OX=7955 GN=rnf213b PE=3 SV=1 E(blastx)=4e-12
TRINITY_DN7350_c0_g1	"Chlorophyll a-b binding protein 7, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB7 PE=2 SV=1 E(blastx)=9e-05"
TRINITY_DN9960_c0_g1	Methyltransferase-like protein 7A OS=Homo sapiens OX=9606 GN=METTL7A PE=1 SV=1 E(blastx)=7e-05
TRINITY_DN10837_c0_g1	Tyrosine-protein phosphatase non-receptor type 13 OS=Mus musculus OX=10090 GN=Ptpn13 PE=1 SV=2 E(blastx)=8e-13
TRINITY_DN8083_c0_g1	Y-box-binding protein 1 OS=Xenopus laevis OX=8355 GN=ybx1 PE=2 SV=1 E(blastx)=5e-12
TRINITY_DN3192_c0_g1	Mitochondrial import inner membrane translocase subunit tim16-A OS=Xenopus laevis OX=8355 GN=pam16-a PE=2 SV=1 E(blastx)=5e-18
TRINITY_DN3187_c0_g1	Splicing factor 3B subunit 1 OS=Xenopus laevis OX=8355 GN=sf3b1 PE=2 SV=1 E(blastx)=7e-11
TRINITY_DN12744_c0_g1	Polyadenylate-binding protein 1-A OS=Xenopus laevis OX=8355 GN=pabpc1-a PE=1 SV=3 E(blastx)=4e-80
TRINITY_DN9871_c0_g1	Eukaryotic translation initiation factor 2 subunit 3 OS=Danio rerio OX=7955 GN=eif2s3 PE=3 SV=1 E(blastx)=9e-39
TRINITY_DN8215_c0_g1	"Myosin heavy chain, clone 203 (Fragment) OS=Hydra vulgaris OX=6087 PE=2 SV=1 E(blastx)=1e-24"
TRINITY_DN4673_c0_g1	RNA-binding protein 5 OS=Rattus norvegicus OX=10116 GN=Rbm5 PE=1 SV=1 E(blastx)=3e-08
TRINITY_DN4375_c0_g1	Radial spoke head 1 homolog OS=Cyprinus carpio OX=7962 GN=rsph1 PE=1 SV=1 E(blastx)=3e-32
TRINITY_DN298_c0_g1	Coiled-coil domain-containing protein 151 OS=Bos taurus OX=9913 GN=CCDC151 PE=2 SV=1 E(blastx)=2e-09
TRINITY_DN12111_c0_g1	TRAF-type zinc finger domain-containing protein 1 OS=Bos taurus OX=9913 GN=TRAFD1 PE=2 SV=1 E(blastx)=5e-17
TRINITY_DN13921_c0_g1	WD repeat-containing protein 70 OS=Homo sapiens OX=9606 GN=WDR70 PE=1 SV=1 E(blastx)=2e-37
TRINITY_DN4680_c0_g1	Calcium-binding protein P OS=Dictyostelium discoideum OX=44689 GN=cbpP PE=2 SV=2 E(blastx)=5e-05
TRINITY_DN4370_c0_g1	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Gallus gallus OX=9031 GN=ACAP2 PE=2 SV=1 E(blastx)=4e-29"
TRINITY_DN9520_c0_g1	Protein Daple OS=Danio rerio OX=7955 GN=ccdc88c PE=2 SV=1 E(blastx)=8e-10
TRINITY_DN1301_c0_g1	Membrane-bound transcription factor site-1 protease OS=Homo sapiens OX=9606 GN=MBTPS1 PE=1 SV=1 E(blastx)=4e-21
TRINITY_DN12883_c0_g1	Constitutive coactivator of PPAR-gamma-like protein 1 OS=Bos taurus OX=9913 GN=FAM120A PE=2 SV=1 E(blastx)=2e-13
TRINITY_DN3969_c0_g1	V-type proton ATPase subunit G OS=Manduca sexta OX=7130 PE=3 SV=1 E(blastx)=5e-06
TRINITY_DN6737_c0_g1	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Oryctolagus cuniculus OX=9986 GN=PPP2R5D PE=2 SV=1 E(blastx)=4e-36
TRINITY_DN133_c0_g1	Peptidyl-prolyl cis-trans isomerase FKBP12 OS=Arabidopsis thaliana OX=3702 GN=FKBP12 PE=1 SV=2 E(blastx)=4e-25
TRINITY_DN10424_c0_g1	Catenin delta-2 (Fragment) OS=Rattus norvegicus OX=10116 GN=Ctnnd2 PE=1 SV=1 E(blastx)=9e-26
TRINITY_DN10514_c0_g1	tRNA (uracil-5-)-methyltransferase homolog A OS=Homo sapiens OX=9606 GN=TRMT2A PE=1 SV=2 E(blastx)=4e-11
TRINITY_DN6703_c0_g1	Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN3808_c0_g1	Amyloid-beta A4 protein OS=Takifugu rubripes OX=31033 GN=app PE=3 SV=1 E(blastx)=3e-05
TRINITY_DN9497_c0_g1	"Type II inositol 1,4,5-trisphosphate 5-phosphatase OS=Mus musculus OX=10090 GN=Inpp5b PE=1 SV=1 E(blastx)=9e-20"
